Field	BIDS CLINICA	BIDS format	BIDS type	ADNI	ADNI location
AD Assessment scale - Word Finding Difficulty	adas_Q11	Number		Q11SCORE	ADAS_ADNIGO2.csv
AD Assessment scale - Comprehension	adas_Q12	Number		Q12SCORE	ADAS_ADNIGO2.csv
AD Assessment scale - Number Cancellation	adas_Q13	Number		Q13SCORE	ADAS_ADNIGO2.csv
					
Item Level Data - ANART	anart_Q1	Number		ANART_Q1	ITEM.csv
Item Level Data - ANART	anart_Q2	Number		ANART_Q2	ITEM.csv
Item Level Data - ANART	anart_Q3	Number		ANART_Q3	ITEM.csv
Item Level Data - ANART	anart_Q4	Number		ANART_Q4	ITEM.csv
Item Level Data - ANART	anart_Q5	Number		ANART_Q5	ITEM.csv
Item Level Data - ANART	anart_Q6	Number		ANART_Q6	ITEM.csv
Item Level Data - ANART	anart_Q7	Number		ANART_Q7	ITEM.csv
Item Level Data - ANART	anart_Q8	Number		ANART_Q8	ITEM.csv
Item Level Data - ANART	anart_Q9	Number		ANART_Q9	ITEM.csv
Item Level Data - ANART	anart_Q10	Number		ANART_Q10	ITEM.csv
Item Level Data - ANART	anart_Q11	Number		ANART_Q11	ITEM.csv
Item Level Data - ANART	anart_Q12	Number		ANART_Q12	ITEM.csv
Item Level Data - ANART	anart_Q13	Number		ANART_Q13	ITEM.csv
Item Level Data - ANART	anart_Q14	Number		ANART_Q14	ITEM.csv
Item Level Data - ANART	anart_Q15	Number		ANART_Q15	ITEM.csv
Item Level Data - ANART	anart_Q16	Number		ANART_Q16	ITEM.csv
Item Level Data - ANART	anart_Q17	Number		ANART_Q17	ITEM.csv
Item Level Data - ANART	anart_Q18	Number		ANART_Q18	ITEM.csv
Item Level Data - ANART	anart_Q19	Number		ANART_Q19	ITEM.csv
Item Level Data - ANART	anart_Q20	Number		ANART_Q20	ITEM.csv
Item Level Data - ANART	anart_Q21	Number		ANART_Q21	ITEM.csv
Item Level Data - ANART	anart_Q22	Number		ANART_Q22	ITEM.csv
Item Level Data - ANART	anart_Q23	Number		ANART_Q23	ITEM.csv
Item Level Data - ANART	anart_Q24	Number		ANART_Q24	ITEM.csv
Item Level Data - ANART	anart_Q25	Number		ANART_Q25	ITEM.csv
Item Level Data - ANART	anart_Q26	Number		ANART_Q26	ITEM.csv
Item Level Data - ANART	anart_Q27	Number		ANART_Q27	ITEM.csv
Item Level Data - ANART	anart_Q28	Number		ANART_Q28	ITEM.csv
Item Level Data - ANART	anart_Q29	Number		ANART_Q29	ITEM.csv
Item Level Data - ANART	anart_Q30	Number		ANART_Q30	ITEM.csv
Item Level Data - ANART	anart_Q31	Number		ANART_Q31	ITEM.csv
Item Level Data - ANART	anart_Q32	Number		ANART_Q32	ITEM.csv
Item Level Data - ANART	anart_Q33	Number		ANART_Q33	ITEM.csv
Item Level Data - ANART	anart_Q34	Number		ANART_Q34	ITEM.csv
Item Level Data - ANART	anart_Q35	Number		ANART_Q35	ITEM.csv
Item Level Data - ANART	anart_Q36	Number		ANART_Q36	ITEM.csv
Item Level Data - ANART	anart_Q37	Number		ANART_Q37	ITEM.csv
Item Level Data - ANART	anart_Q38	Number		ANART_Q38	ITEM.csv
Item Level Data - ANART	anart_Q39	Number		ANART_Q39	ITEM.csv
Item Level Data - ANART	anart_Q40	Number		ANART_Q40	ITEM.csv
Item Level Data - ANART	anart_Q41	Number		ANART_Q41	ITEM.csv
Item Level Data - ANART	anart_Q42	Number		ANART_Q42	ITEM.csv
Item Level Data - ANART	anart_Q43	Number		ANART_Q43	ITEM.csv
Item Level Data - ANART	anart_Q44	Number		ANART_Q44	ITEM.csv
Item Level Data - ANART	anart_Q45	Number		ANART_Q45	ITEM.csv
Item Level Data - ANART	anart_Q46	Number		ANART_Q46	ITEM.csv
Item Level Data - ANART	anart_Q47	Number		ANART_Q47	ITEM.csv
Item Level Data - ANART	anart_Q48	Number		ANART_Q48	ITEM.csv
Item Level Data - ANART	anart_Q49	Number		ANART_Q49	ITEM.csv
Item Level Data - ANART	anart_Q50	Number		ANART_Q50	ITEM.csv
					
AD Assessment scale - Memory component (Q1 + Q4 + Q7 + Q9 + Q9)	adas_memory	Number	adas_Q1 + adas_Q4 + adas_Q7 + adas_Q8 + adas_Q9	ADAS13	ADNIMERGE.csv/ADNIMERGE
AD Assessment scale - Language component (Q2 + Q5 + Q10 + Q11 + Q12	adas_language	Number	adas_Q2 + adas_Q5 + adas_Q10 + adas_Q11 + adas_Q12	ADAS13	ADNIMERGE.csv/ADNIMERGE
AD Assessment scale - Concentration component (Q13)	adas_concentration	Number	adas_Q13	ADAS13	ADNIMERGE.csv/ADNIMERGE
AD Assessment scale - Praxis component (Q3 + Q6)	adas_praxis	Number	adas_Q3 + adas_Q6	ADAS13	ADNIMERGE.csv/ADNIMERGE
					
UCSF Fusiform Volume	adni_fusiform_vol	Number		Fusiform	ADNIMERGE.csv/ADNIMERGE
UCSF Mid Temporal Volume	adni_midtemp_vol	Number		MidTemp	ADNIMERGE.csv/ADNIMERGE
CSF level of beta-amyloid 1-42	adni_abeta	Number		ABETA	ADNIMERGE.csv/ADNIMERGE
CSF level of total Tau	adni_tau	Number		TAU	ADNIMERGE.csv/ADNIMERGE
CSF level of Tau phosphorylated at threonine 181	adni_ptau	Number		PTAU	ADNIMERGE.csv/ADNIMERGE
					
Clinical Dementia Rating Scale - Memory component	cdr_cdmemory			CDMEMORY	CDR.csv
Clinical Dementia Rating Scale - Orientation component	cdr_cdorient			CDORIENT	CDR.csv
Clinical Dementia Rating Scale - Judgment & Problem Solving component	cdr_cdjudge			CDJUDGE	CDR.csv
Clinical Dementia Rating Scale - Community Affairs component	cdr_cdcommun			CDCOMMUN	CDR.csv
Clinical Dementia Rating Scale -  Home & Hobbies component	cdr_cdhome			CDHOME	CDR.csv
Clinical Dementia Rating Scale - Personal Care component	cdr_cdcare			CDCARE	CDR.csv
Clinical Dementia Rating - Global CDR	cdr_cdglobal			CDGLOBAL	CDR.csv
					
Cognitive Change Index - 1 Recalling information when I really try	cci_cci1			CCI1	CCI.csv
Cognitive Change Index - 2 Remembering names and faces of new people I meet	cci_cci2			CCI2	CCI.csv
Cognitive Change Index - 3 Remembering things that have happened recently	cci_cci3			CCI3	CCI.csv
Cognitive Change Index - 4 Recalling conversations a few days later	cci_cci4			CCI4	CCI.csv
Cognitive Change Index - 5 Remembering where things are usually kept	cci_cci5			CCI5	CCI.csv
Cognitive Change Index - 6 Remembering new information told to me	cci_cci6			CCI6	CCI.csv
Cognitive Change Index - 7 Remembering where I placed familiar objects	cci_cci7			CCI7	CCI.csv
Cognitive Change Index - 8 Remembering what I intended to do	cci_cci8			CCI8	CCI.csv
Cognitive Change Index - 9 Remembering names of family members and friends	cci_cci9			CCI9	CCI.csv
Cognitive Change Index - 10 Remembering without notes and reminders	cci_cci10			CCI10	CCI.csv
Cognitive Change Index - 11 People who know me would find that my memory is	cci_cci11			CCI11	CCI.csv
Cognitive Change Index - 12 Remembering things compared to my age group	cci_cci12			CCI12	CCI.csv
Cognitive Change Index - 13 Making decisions about everyday matters	cci_cci13			CCI13	CCI.csv
Cognitive Change Index - 14 Reasoning through a complicated problem	cci_cci14			CCI14	CCI.csv
Cognitive Change Index - 15 Focusing on goals and carrying out a plan	cci_cci15			CCI15	CCI.csv
Cognitive Change Index - 16 Shifting easily from one activity to the next	cci_cci16			CCI16	CCI.csv
Cognitive Change Index - 17 Organizing my daily activities	cci_cci17			CCI17	CCI.csv
Cognitive Change Index - 18 Understanding conversations	cci_cci18			CCI18	CCI.csv
Cognitive Change Index - 19 Expressing myself when speaking	cci_cci19			CCI19	CCI.csv
Cognitive Change Index - 20 Following a story in a book, movie or TV	cci_cci20			CCI20	CCI.csv
Cognitive Change Index - CCI: sum of first 12 items	cci_cci12tot			CCI12TOT	CCI.csv
					
Everyday Cognition (Participant Self Report) - Concern	ecogpt_concern			CONCERN	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Memory component 1	ecogpt_memory1			MEMORY1	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Memory component 2	ecogpt_memory2			MEMORY2	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Memory component 3	ecogpt_memory3			MEMORY3	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Memory component 4	ecogpt_memory4			MEMORY4	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Memory component 5	ecogpt_memory5			MEMORY5	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Memory component 6	ecogpt_memory6			MEMORY6	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Memory component 7	ecogpt_memory7			MEMORY7	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Memory component 8	ecogpt_memory8			MEMORY8	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Language component 1	ecogpt_lang1			LANG1	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Language component 2	ecogpt_lang2			LANG2	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Language component 3	ecogpt_lang3			LANG3	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Language component 4	ecogpt_lang4			LANG4	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Language component 5	ecogpt_lang5			LANG5	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Language component 6	ecogpt_lang6			LANG6	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Language component 7	ecogpt_lang7			LANG7	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Language component 8	ecogpt_lang8			LANG8	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Language component 9	ecogpt_lang9			LANG9	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Visuospatial Abilities component 1	ecogpt_visspat1			VISSPAT1	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Visuospatial Abilities component 2	ecogpt_visspat2			VISSPAT2	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Visuospatial Abilities component 3	ecogpt_visspat3			VISSPAT3	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Visuospatial Abilities component 4	ecogpt_visspat4			VISSPAT4	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Visuospatial Abilities component 6	ecogpt_visspat6			VISSPAT6	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Visuospatial Abilities component 7	ecogpt_visspat7			VISSPAT7	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Visuospatial Abilities component 8	ecogpt_visspat8			VISSPAT8	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Planning component 1	ecogpt_plan1			PLAN1	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Planning component 2	ecogpt_plan2			PLAN2	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Planning component 3	ecogpt_plan3			PLAN3	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Planning component 4	ecogpt_plan4			PLAN4	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Planning component 5	ecogpt_plan5			PLAN5	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Organization component 1	ecogpt_organ1			ORGAN1	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Organization component 2	ecogpt_organ2			ORGAN2	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Organization component 3	ecogpt_organ3			ORGAN3	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Organization component 4	ecogpt_organ4			ORGAN4	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Organization component 5	ecogpt_organ5			ORGAN5	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Organization component 6	ecogpt_organ6			ORGAN6	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Divided attention component 1	ecogpt_divatt1			DIVATT1	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Divided attention component 2	ecogpt_divatt2			DIVATT2	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Divided attention component 3	ecogpt_divatt3			DIVATT3	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Divided attention component 4	ecogpt_divatt4			DIVATT4	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Staff assistance	ecogpt_staffasst			STAFFASST	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Validity of the information collected	ecogpt_validity			VALIDITY	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Information Source	ecogpt_source			SOURCE	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Divided attention component	ecogpt_ecogptdivatt			EcogPtDivatt	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Language component	ecogpt_ecogptlang			EcogPtLang	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Memory component	ecogpt_ecogptmem			EcogPtMem	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Organization component	ecogpt_ecogptorgan			EcogPtOrgan	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Planning component	ecogpt_ecogptplan			EcogPtPlan	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Visuospatial Abilities component	ecogpt_ecogptvisspat			EcogPtVisspat	ECOGPT.csv
Everyday Cognition (Participant Self Report) - Total	ecogpt_ecogpttotal			EcogPtTotal	ECOGPT.csv
					
Everyday Cognition (Study Partner Report) - Concern	ecogsp_concern			CONCERN	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Memory component 1	ecogsp_memory1			MEMORY1	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Memory component 2	ecogsp_memory2			MEMORY2	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Memory component 3	ecogsp_memory3			MEMORY3	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Memory component 4	ecogsp_memory4			MEMORY4	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Memory component 5	ecogsp_memory5			MEMORY5	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Memory component 6	ecogsp_memory6			MEMORY6	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Memory component 7	ecogsp_memory7			MEMORY7	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Memory component 8	ecogsp_memory8			MEMORY8	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Language component 1	ecogsp_lang1			LANG1	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Language component 2	ecogsp_lang2			LANG2	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Language component 3	ecogsp_lang3			LANG3	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Language component 4	ecogsp_lang4			LANG4	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Language component 5	ecogsp_lang5			LANG5	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Language component 6	ecogsp_lang6			LANG6	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Language component 7	ecogsp_lang7			LANG7	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Language component 8	ecogsp_lang8			LANG8	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Language component 9	ecogsp_lang9			LANG9	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Visuospatial Abilities component 1	ecogsp_visspat1			VISSPAT1	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Visuospatial Abilities component 2	ecogsp_visspat2			VISSPAT2	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Visuospatial Abilities component 3	ecogsp_visspat3			VISSPAT3	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Visuospatial Abilities component 4	ecogsp_visspat4			VISSPAT4	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Visuospatial Abilities component 6	ecogsp_visspat6			VISSPAT6	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Visuospatial Abilities component 7	ecogsp_visspat7			VISSPAT7	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Visuospatial Abilities component 8	ecogsp_visspat8			VISSPAT8	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Planning component 1	ecogsp_plan1			PLAN1	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Planning component 2	ecogsp_plan2			PLAN2	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Planning component 3	ecogsp_plan3			PLAN3	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Planning component 4	ecogsp_plan4			PLAN4	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Planning component 5	ecogsp_plan5			PLAN5	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Organization component 1	ecogsp_organ1			ORGAN1	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Organization component 2	ecogsp_organ2			ORGAN2	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Organization component 3	ecogsp_organ3			ORGAN3	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Organization component 4	ecogsp_organ4			ORGAN4	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Organization component 5	ecogsp_organ5			ORGAN5	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Organization component 6	ecogsp_organ6			ORGAN6	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Divided attention component 1	ecogsp_divatt1			DIVATT1	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Divided attention component 2	ecogsp_divatt2			DIVATT2	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Divided attention component 3	ecogsp_divatt3			DIVATT3	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Divided attention component 4	ecogsp_divatt4			DIVATT4	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Staff assistance	ecogsp_staffasst			STAFFASST	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Validity of the information collected	ecogsp_validity			VALIDITY	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Information Source	ecogsp_source			SOURCE	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Divided attention component	ecogsp_ecogptdivatt			EcogSPDivatt	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Language component	ecogsp_ecogptlang			EcogSPLang	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Memory component	ecogsp_ecogptmem			EcogSPMem	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Organization component	ecogsp_ecogptorgan			EcogSPOrgan	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Planning component	ecogsp_ecogptplan			EcogSPPlan	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Visuospatial Abilities component	ecogsp_ecogptvisspat			EcogSPVisspat	ECOGSP.csv
Everyday Cognition (Study Partner Report) - Total	ecogsp_ecogpttotal			EcogSPTotal	ECOGSP.csv
					
Financial Capacity Instrument Short Form - Mental Calculation Score (Items 1-2)	fci_mc_score			MC_SCORE	FCI.csv
Financial Capacity Instrument Short Form - Fincial Conceptual Knowledge Score (Items 3-6)	fci_fc_score			FC_SCORE	FCI.csv
Financial Capacity Instrument Short Form - Single/Checkbook Register Score (Items 7-16)	fci_snglchkscore			SNGLCHKSCORE	FCI.csv
Financial Capacity Instrument Short Form - Complex Checkbook/Register Score (Items 17-30)	fci_complxchkscore			COMPLXCHKSCORE	FCI.csv
Financial Capacity Instrument Short Form - Checkbook/Register Composite Time (Items Jul-16 & 17-30):	fci_chkcompostime			CHKCOMPOSTIME	FCI.csv
Financial Capacity Instrument Short Form - Combined Checkbook/Register Score (Items Jul-16 + 17-30 )	fci_chkcomposscore			CHKCOMPOSSCORE	FCI.csv
Financial Capacity Instrument Short Form - Bank Statement Magement Score (Items 31-37)	fci_bankstatscore			BANKSTATSCORE	FCI.csv
Financial Capacity Instrument Short Form -  Total Composite Time (Items 4, 5, 7-16, 17-30)	fci_totcomptime			TOTCOMPTIME	FCI.csv
Financial Capacity Instrument Short Form - Total score	fci_fciscore			FCISCORE	FCI.csv
Financial Capacity Instrument Short Form - Was assessment/procedure done?	fci_done			DONE	FCI.csv
Financial Capacity Instrument Short Form - If No, reason not done	fci_ndreason			NDREASON	FCI.csv
Financial Capacity Instrument Short Form - 1 Nickels	fci_nickels			NICKELS	FCI.csv
Financial Capacity Instrument Short Form - 2 Quarters	fci_quarters			QUARTERS	FCI.csv
Financial Capacity Instrument Short Form - 3 Budget	fci_budget			BUDGET	FCI.csv
Financial Capacity Instrument Short Form - Experience with Medical Insurance Plan?	fci_expmedins			EXPMEDINS	FCI.csv
Financial Capacity Instrument Short Form - 4 Health Care Insurance Problem	fci_insurance			INSURANCE	FCI.csv
Financial Capacity Instrument Short Form - Time to complete Item 4	fci_medinstime			MEDINSTIME	FCI.csv
Financial Capacity Instrument Short Form - Experience with Income Taxes?	fci_expinctax			EXPINCTAX	FCI.csv
Financial Capacity Instrument Short Form - 5 a. Tax Credit	fci_taxcreda			TAXCREDA	FCI.csv
Financial Capacity Instrument Short Form - Time to complete Item 5.a.	fci_ques5time			QUES5TIME	FCI.csv
Financial Capacity Instrument Short Form - 5 b. Tax Credit	fci_taxcredb			TAXCREDB	FCI.csv
Financial Capacity Instrument Short Form - Experience with Checkbook/Check Register?	fci_expcheckreg			EXPCHECKREG	FCI.csv
Financial Capacity Instrument Short Form - 6 Payee	fci_payee			PAYEE	FCI.csv
Financial Capacity Instrument Short Form - 7 Payee section	fci_snglchk7			SNGLCHK7	FCI.csv
Financial Capacity Instrument Short Form - 8 $ amount section (numerical)	fci_snglchk8			SNGLCHK8	FCI.csv
Financial Capacity Instrument Short Form - 9 $ amount section (written)	fci_snglchk9			SNGLCHK9	FCI.csv
Financial Capacity Instrument Short Form - 10 Sigture of payer	fci_snglchk10			SNGLCHK10	FCI.csv
Financial Capacity Instrument Short Form - 11 Date properly written	fci_snglchk11			SNGLCHK11	FCI.csv
Financial Capacity Instrument Short Form - 12 Number of check	fci_snglchk12			SNGLCHK12	FCI.csv
Financial Capacity Instrument Short Form - 13 Date properly entered	fci_snglchk13			SNGLCHK13	FCI.csv
Financial Capacity Instrument Short Form - 14 Payee section	fci_snglchk14			SNGLCHK14	FCI.csv
Financial Capacity Instrument Short Form - 15 Amount of check	fci_snglchk15			SNGLCHK15	FCI.csv
Financial Capacity Instrument Short Form - 16 New account balance	fci_snglchk16			SNGLCHK16	FCI.csv
Financial Capacity Instrument Short Form - Time to complete items 7-16	fci_snglchktime			SNGLCHKTIME	FCI.csv
Financial Capacity Instrument Short Form - 17 Number of check	fci_complxchk17			COMPLXCHK17	FCI.csv
Financial Capacity Instrument Short Form - 18 Date properly entered	fci_complxchk18			COMPLXCHK18	FCI.csv
Financial Capacity Instrument Short Form - 19 Payee section	fci_complxchk19			COMPLXCHK19	FCI.csv
Financial Capacity Instrument Short Form - 20 Amount of check	fci_complxchk20			COMPLXCHK20	FCI.csv
